Identifikationsnr|Typ av objekt|Benämning|Material|Namn-Konstnär|Konstnär-KulturNav|Namn-Konstruktör|Konstruktör-KulturNav|Namn-Konstruktör|Namn-Fotograf|Namn-Tillverkare|Namn-Tillverkare|Namn-Tillverkare|Datering-Fotografering|Datering-Produktion|Avbildade namn|Avbildade-KulturNav|Avbildade namn|Avbildade namn|Avbildade - orter|Ämnesord|Beskrivning|Motiv-ämnesord|Motiv-beskrivning|Rättigheter|Samling|Dimukode
O 04929|Föremål|Sjöstrid||Sillén, Herman af|||||Karlsson, Anneli|||||1906||||||Skärgårdsstrid 1788-90|Målning, pastell. Ram: Förgylld|Sjöstrid, Skärgårdsstrid|skärgårdsstrid med motiv från 1788-90 års krig|Utgången skyddstid|Sjöhistoriska museet|021025691918
S 3053|Föremål|Fartygsporträtt||Hansen, Broder Henrich|||||Jonson, Johan||||||EMELIE|||||Brigg|Ram: Förgylld Duk i kilram|Besättning på däck, Brigg, Fartygsporträtt, Kaptenstavla, Klättra, Märs, Peke, Rår, Segel, Storm, Vågor, Vågskum|"Briggen Emelie tillhörande Grosshandlaren Godenius & C:o. i Stockholm Commenderad af Cap:t P.J. Wulff på höyden af Start Point". Fartyget ligger bi för babords halsar i orkan med våldsam överbrytande sjö|Utgången skyddstid|Sjöhistoriska museet|011024829640
Fo206798|Foto||||||||Okänd fotograf||||1961||RADNY|||||||Tankfartyg, Provtur|"Från provturen."|Utgången skyddstid|Sjöhistoriska museet|021015760868
O 04109|Föremål|Ritning|Papper|Velde d.ä., Willem van de|||||Karlsson, Anneli|||||1667||||||Akterspegel|Ram: Förgylld|Akterspegel, Galleri, Ornamentering|"Galleri och akterspegel" av van de Velde d.ä. 1667|Utgången skyddstid|Sjöhistoriska museet|011024824093
O 04110|Föremål|Ritning|Papper|Velde d.ä., Willem van de|||||Karlsson, Anneli|||||1667||||||Akterspegel, Galleri|Ram: Förgylld|Akterspegel, Galleri, Ornament|"Galleri och akterspegel" av van de Velde d.ä. 1667|Utgången skyddstid|Sjöhistoriska museet|011024824096
1994:20|Föremål|Karta|Papper|Dahlman, C. E.||||||||||1880||||||Nordenskiölds arktiska expedition, Upptäcksresande||Norra halvklotet|"Karta öfver Svenska arktiska expeditionernas forskningsområde åren 1837-80." Norra halvklotet|Utgången skyddstid|Sjöhistoriska museet|011024755034
Fo20247A|Foto||||||||Jackson, Carl Gösta||||1927-09-13||MODE||||Stockholms ström|||Lastångfartyg, Mode|"Lastångfartyget MODE den 13.9.1927 i Stockholm"|Utgången skyddstid|Sjöhistoriska museet|011015396227
Fo216419|Foto||||||||Okänd fotograf||||1935||KLIPPAREN|||||||Lastmotorfartyg, Rederivykort, Vykort|"M/S Klipparen. Redei A.B. Transatlantic."|Utgången skyddstid|Sjöhistoriska museet|021015565424
Fo133506|Foto||||||||Okänd fotograf||||||DORRIT V|||||||M30, M30-26 Dorrit V, Mälar 30|"M30:an Dorrit V var framgångsrik i både pokalseglingarna och i öppna regattan"|Utgången skyddstid|Sjöhistoriska museet|021015582939
Fo57964|Foto||||||||Salander, Erik||||1905||SAN TOY|||||||Segelyacht|"San Toy, Ägare: Bankir G. A. Kyhlberger, Konstruktör: Gunnar Mellgren"|Utgången skyddstid|Sjöhistoriska museet|011015375957
Fo202865|Foto||||||||Okänd fotograf||||1914||VATERLAND||||Hamburg, Tyskland|||Amerikabåt, Atlantångare|"Vaterland" Der neuste Riesendampfer der Hamburg-Amerika-Linie (Grösstes Schiff der Welt)...|Utgången skyddstid|Sjöhistoriska museet|021015757853
Fo214840|Foto||||||||Okänd fotograf||||odaterad||MANNINGHAM||||Tyskland|||Lastfartyg, Manningham, Vykort|"Ägare:/1896-1915/: HB Sölvesborgs Skeppsvarf. Hemort: Sölvesborg."|Utgången skyddstid|Sjöhistoriska museet|021015765749
Fo195542|Foto||||||||Okänd fotograf||||||MANLIGHETEN|http://kulturnav.org/ab7f5129-e1cf-4175-9d44-15d35318acd4||||||Pansarskepp, Vykort|1:a kl Pansarbåt Manligheten. Förlag O. Brandt|Utgången skyddstid|Sjöhistoriska museet|011014885783
Fo195560|Foto||||||||Okänd fotograf||||||GÖTA|http://kulturnav.org/350df9f4-0a4d-4574-9775-db2eb8325207||||||1 klass pansarbåt, Göta, Pansarskepp, Vykort|1:a kl. Pansarbåt Göta|Utgången skyddstid|Sjöhistoriska museet|011014897283
SM 28878|Föremål|Fartygsmodell|||||||Okänd fotograf||||||LACKAWANNA|http://kulturnav.org/39679d5c-7e33-41a5-9ec7-82c81686d9e0||||Segelbåt, Segelbåt, skärgårdskryssare, S 30|Modell||150 kvadratmeters skärgårdskryssaren Lackawanna|Erkännande-Dela lika|Sjöhistoriska museet|011024834786
Fo216301|Foto||||||||Okänd fotograf||||||NORMANDIE|||||||Amerikabåt, Atlantångare, Passagerarfartyg, Vykort|8145. The "Normandie". 79,280 Tons. Cia Generelle Transatlantique. "Sunshine" Series Real Photo Photgraphed and Printed by E.A. Sweetman & Sons. Tunbridge Wells|Utgången skyddstid|Sjöhistoriska museet|021015514708
1994:001:1|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1756|ORPHÉE||||||blyerts, delvis laverad|Manshuvud, Örlogsfartyg, Segelfartyg, Fartygsornament|Aktergalleri till örlogsfartyget Orphée|Utgången skyddstid|Sjöhistoriska museet|011024754991
1994:001:6|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1756|||||||tusch och laverad|Örlogsfartyg, Akterspegel, Fartygsornament|Aktergallerier|Utgången skyddstid|Sjöhistoriska museet|011024755017
Fo55337A|Foto||||||||Okänd fotograf||||1935||CAPITOL||||USA|||Akterhjulångare, Capitol, Hjulångare, Passagerarfartyg, Sternwheeler|Akterhjulångfartyget CAPITOL. Fartyget gick dag- och kvällsturer från New Orleans uppför Missisippi. Foto taget i New Orleans 1935|Utgången skyddstid|Sjöhistoriska museet|021015708528
OR 2595|Föremål|Ritning|Kartong|||Chapman, Fredrik Henrik af|||||||||||||||Tusch uppfodrad på kartong|Akterspegel, Pojama, Örlogsfartyg|Akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024827777
SB 1387|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad|NORRKÖPING|||||||Fregatt, Örlogsfartyg, Akterspegel|Akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024830809
OR 2603|Föremål|Ritning|tuschritning, uppfodrad på kartong|||Chapman, Fredrik Henrik af||||||||||||||||Akterspegel, Lilla Udenma, Udema, Örlogsfartyg|Akterspegel till lilla Udenma|Utgången skyddstid|Sjöhistoriska museet|011024827800
OR 2607|Föremål|Ritning|tuschritning, uppfodrad på kartong|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||||||||||Akterspegel, Stora Udenma, Udema, Örlogsfartyg|Akterspegel till stora udenma ritad av Fredrik Henrik af Chapman|Utgången skyddstid|Sjöhistoriska museet|011024827810
1994:001:7|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af|||Karlsson, Anneli|||||1756|||||||tusch och laverad|Akterspegel, Ornament, Örlogsfartyg|Akterspegel, bland annat med amorin hållande mansporträtt|Utgången skyddstid|Sjöhistoriska museet|011024755022
1994:001:3|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||1756|ORPHÉE||||||blyerts och laverad|Akterspegel, Lyra, Mansfigur, Örlogsfartyg|Akterspegel, bland annat med sittande mansfigur med lyra. Till örlogsfartyget Orphée|Utgången skyddstid|Sjöhistoriska museet|011024754998
SB 1394:a|Föremål|Ritning|Papper|||Chapman, Fredrik Henrik af||||||||Odaterad||||||||Örlogsfartyg, Akterspegel, Fartygsornament|Akterspegelsornament, Akterspegel|Utgången skyddstid|Sjöhistoriska museet|011024830811
